MainID,St_name,Dist,DistName,StartTime,EndTime,Side,from,to,miles,oneway,week1,week2,week3,week4,week5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,everyday,yearround
2222,Rosseter St,3,North Dorchester,12:00,16:00,Odd,Eldon St,Bowdoin Ave,0.4182,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2223,Rossmore Rd,2,Jamaica Plain,8:00,12:00,Odd,Washington St,Forest Hills St,0.2839,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2224,Rossmore Rd,2,Jamaica Plain,8:00,12:00,Even,Washington St,Forest Hills St,0.2839,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2225,Round Hill St,2,Jamaica Plain,12:00,16:00,Even,Walden St,Day St,0.2911,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2226,Round Hill St,2,Jamaica Plain,12:00,16:00,Odd,Walden St,Day St,0.2911,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2227,Roxbury St,10R,Roxbury,8:00,12:00,Odd,Centre St,Elmwood St,0.1612,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2228,Roxbury St,10R,Roxbury,8:00,12:00,Even,Centre St,Elmwood St,0.1612,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2229,Royce Rd,4,Allston/Brighton,12:00,16:00,Even,Commonwealth Ave,Brainerd Rd,0.0794,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2230,Royce Rd,4,Allston/Brighton,12:00,16:00,Odd,Commonwealth Ave,Brainerd Rd,0.0794,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2231,Roys St,2,Jamaica Plain,12:00,16:00,Even,Lamartine St,Chestnut Ave,0.046,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2232,Roys St,2,Jamaica Plain,12:00,16:00,Odd,Lamartine St,Chestnut Ave,0.046,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2233,Rugg Rd,4,Allston/Brighton,8:00,12:00,Even,Cambridge St,Braintree St,0.1322,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2234,Rugg Rd,4,Allston/Brighton,8:00,12:00,Odd,Cambridge St,Braintree St,0.1322,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2235,Ruggles St,10R,Roxbury,8:00,12:00,Odd,Washington St,Tremont St,0.3102,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2236,Ruggles St,10R,Roxbury,8:00,12:00,Even,Washington St,Tremont St,0.3102,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2237,Russell St,1C,Charlestown,12:00,16:00,Even,Sullivan St,Brookline Town Line,0.2545,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2238,Russell St,1C,Charlestown,12:00,16:00,Odd,Sullivan St,Brookline Town Line,0.2545,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2239,Russell St,1C,Charlestown,8:00,12:00,Even,Pearl St,Sullivan St,0.0485,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2240,Russell St,1C,Charlestown,8:00,12:00,Odd,Pearl St,Sullivan St,0.0485,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2241,Townsend St,10R,Roxbury,12:00,16:00,Even,Walnut Ave,Quincy St,0.4384,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2242,Tremont St,1S,South End,5:00,7:00,Odd,Berkeley St,Massachusetts Ave,0.6856,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2243,Ruthven St,10R,Roxbury,8:00,12:00,Even,Walnut Ave,Elm Hill Ave,0.4545,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2244,Victoria St,3,North Dorchester,12:00,16:00,Even,Dorchester Ave,Pleasant St,0.1551,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2245,Ruthven St,10R,Roxbury,8:00,12:00,Odd,Walnut Ave,Elm Hill Ave,0.4545,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2246,Rutland Sq,1S,South End,8:00,12:00,Odd,Tremont St,Columbus Ave,0.1549,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2247,Rutland Sq,1S,South End,8:00,12:00,Even,Tremont St,Columbus Ave,0.1549,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2248,Rutland St,1S,South End,8:00,12:00,Even,Washington St,Newland St,0.1015,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
