FID,OBJECTID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape__Length
2736,5857,Blue Hill Avenue,5124100,2,2,1,2010,BL,121.511343947836
2737,5858,Jewish War Veterans Drive,4754900,5,2,1,2009,NW-U,162.373962077965
2738,5859,Walnut Avenue,4720000,6,2,0,2011,SLM,97.3609372507311
2739,5860,Walnut Avenue,5308300,6,2,0,2011,SLM,101.920100856201
2740,5861,Blue Hill Avenue,5691200,3,2,1,2012,BL,85.8555754561074
2741,5862,Blue Hill Avenue,6278300,3,2,1,2012,SLM,355.443244440174
2742,5863,Blue Hill Avenue,6232000,3,2,1,2012,BL,66.841466829064
2743,5864,Blue Hill Avenue,6227400,3,2,1,2012,SLM,53.8111885805542
2744,5865,Walnut Avenue,5598700,6,2,0,2011,SLM,19.24792537473
2745,5866,Walnut Avenue,4698300,6,2,0,2011,SLM,52.6512150471272
2746,5867,Walnut Avenue,4677700,6,2,0,2011,SLM,119.87595939452
2747,5868,Ritchie Street,4642400,6,2,0,2011,SLM,44.6162780568103
2748,5869,Huntington Avenue,5313200,3,2,1,2013,SLM,200.55820316807
2749,5870,Huntington Avenue,6290000,3,2,1,2012,SLM,29.8838254022755
2750,5871,Beacon Street,5459900,3,2,0,2009,SLM,127.845923132374
2751,5872,Bay State Road,5457900,6,2,0,2019,CFBL,269.641609859658
2752,5873,Commonwealth Avenue,6270102,3,2,1,2010,BL,102.69781187013
2753,5885,Babcock Street,5351200,0,2,0,2014,SLM,55.3020525113815
2754,5886,Babcock Street,4478800,0,2,0,2014,BLSL,142.244958320176
2755,5962,Washington Street,5629800,3,2,0,2018,SBL,85.0050273517438
2756,6079,Brookley Road,4769500,0,2,0,2017,TC,300.282064598291
2757,6084,Washington Street,4744200,3,2,0,2016,SLM,41.6428162271961
2758,6086,Gartland Street,5606400,0,2,0,2017,TC,108.442164912823
2759,6091,Paul Gore Street,5209200,0,2,0, ,TC,234.70870316265
2760,6093,Paul Gore Street,4667600,0,2,0, ,TC,111.481840154826
2761,6095,Day Street,4632100,6,2,0, ,TC,76.0444134871374
2762,6162,Washington Street,5734000,3,2,0,2016,SLM,44.7821642477635
2763,6164,Washington Street,5734200,3,2,0,2016,SLM,94.9039981116932
2764,6179,Washington Street,4701300,3,2,0,2016,SLM,188.202790900186
2765,6180,Washington Street,4688900,3,2,0,2016,SLM,100.467619563815
2766,6181,Mozart Street,4658600,0,2,0, ,TC,123.132859318389
2767,6199,Park Drive,4544700,3,3,0,2019,BL,202.473456162164
2768,6221,Walnut Entrance,5313000,0,2,0, ,SUP,89.076101584009
